"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 01 09:28:04 GMT 2024","Wed May 01 09:28:09 GMT 2024","5531","Default Suite","pftesting","org.example.pftesting.testcases.suppliers.SupplierPage","org.example.pftesting.testcases.suppliers.SupplierPage","unSelectAll","Kiểm tra chức năng bỏ chọn tất cả",""
"passed","Wed May 01 09:28:16 GMT 2024","Wed May 01 09:28:17 GMT 2024","231","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_invalidCode","Tạo đơn hàng với Mã đơn hàng = ""123""",""
"failed","Wed May 01 09:28:03 GMT 2024","Wed May 01 09:28:03 GMT 2024","128","Default Suite","pftesting","org.example.pftesting.testcases.suppliers.SupplierPage","org.example.pftesting.testcases.suppliers.SupplierPage","selectAll","Kiểm tra chức năng chọn tất cả",""
"failed","Wed May 01 09:28:54 GMT 2024","Wed May 01 09:29:00 GMT 2024","5778","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_negativeProductPrice","Thêm sản phẩm vào đơn hàng với giá = -1",""
"failed","Wed May 01 09:29:00 GMT 2024","Wed May 01 09:29:06 GMT 2024","5674","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_negativeProductQuantity","Thêm sản phẩm vào đơn hàng với số lượng = -1",""
"failed","Wed May 01 09:29:13 GMT 2024","Wed May 01 09:29:19 GMT 2024","5694","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_zeroProductQuantity","Thêm sản phẩm vào đơn hàng với số lượng = 0",""
"failed","Wed May 01 09:28:48 GMT 2024","Wed May 01 09:28:54 GMT 2024","5666","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_negativeNegativeProductQuantity","Thêm sản phẩm vào đơn hàng với số lượng = --1",""
"passed","Wed May 01 09:28:03 GMT 2024","Wed May 01 09:28:03 GMT 2024","164","Default Suite","pftesting","org.example.pftesting.testcases.suppliers.SupplierPage","org.example.pftesting.testcases.suppliers.SupplierPage","addSupplier","Kiểm tra chức năng button thêm nhà cung cấp",""
"passed","Wed May 01 09:28:16 GMT 2024","Wed May 01 09:28:16 GMT 2024","140","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_emptyCode","Tạo đơn hàng bỏ trống toàn bộ data",""
"passed","Wed May 01 09:28:17 GMT 2024","Wed May 01 09:28:17 GMT 2024","204","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_specialCharacterCode","Tạo đơn hàng với Mã đơn hàng = ""¥¥123""",""
"failed","Wed May 01 09:28:30 GMT 2024","Wed May 01 09:28:36 GMT 2024","5750","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_emptyProductPrice","Thêm sản phẩm vào đơn hàng với giá trống",""
